Company,"Primary Industry, Country"
Sumitomo Electric Ind. Ltd.,"Fabricated Metal Products, Japan"
Koc Holding A/S,"Motor Vehicles, Turkey"
LafargeHolcim Ltd.,"Stone, Clay, Glass & Concrete Products, Switzerland"
NEC Corp.,"Computers & Other Electronic Products, Japan"
Northrop Grumman Corp.,"Aerospace & Defense, United States"
LG Display Co. Ltd.,"Computers & Other Electronic Products, Korea"
Cie Generale des Etabl. Michelin,"Rubber Products, France"
Raytheon Co.,"Aerospace & Defense, United States"
Industria de Diseno Textil SA,"Apparel, Spain"
AbbVie Inc.,"Pharmaceuticals, United States"
Alcoa Inc.,"Primary Metals, United States"
Polski Koncern Naftowy ORLEN SA,"Petroleum & Coal Products, Poland"
International Paper Co.,"Paper, United States"
Heineken NV,"Beverages, Netherlands"
Emerson Electric Co.,"Electrical Equipment & Appliances, United States"
TonenGeneral Sekiyu KK,"Petroleum & Coal Products, Japan"
GD Midea Holding Co. Ltd.,"Electrical Equipment & Appliances, China"
Safran SA,"Communications Equipment, France"
Amgen Inc.,"Pharmaceuticals, United States"
Alfresa Holdings Corp.,"Pharmaceuticals, Japan"
Eaton Ltd.,"Electronic/Electric Equip., Ireland"
Suncor Energy Inc.,"Petroleum & Coal Products, Canada"
FUJIFILM Holdings Corp.,"Computers & Other Electronic Products, Japan"
Eaton Corp PLC,"Electrical Equipment & Appliances, Ireland"
Whirlpool Corp.,"Electrical Equipment & Appliances, United States"
Danaher Corp.,"Miscellaneous, United States"
Anglo American PLC,"Primary Metals, United Kingdom"
Sharp Corp.,"Computers & Other Electronic Products, Japan"
Faurecia,"Motor Vehicle Parts, France"
Abbott Laboratories,"Pharmaceuticals, United States"
Rolls Royce Holdings PLC,"Aerospace & Defense, United Kingdom"
Gazprom Neft OAO,"Petroleum & Coal Products, Russian Federation"
Eli Lilly & Co.,"Pharmaceuticals, United States"
Wolseley PLC,"Machinery, United Kingdom"
SABMiller PLC,"Beverages, United Kingdom"
Henkel AG & Co. KGAA,"Chemicals, Germany"
Onex Corp.,"Food, Canada"
Teva Pharmaceutical Industries Ltd.,"Pharmaceuticals, Israel"
Linde AG,"Machinery, Germany"
British American Tobacco PLC,"Tobacco, United Kingdom"
Formosa Petrochemical Corp.,"Petroleum & Coal Products, Taiwan Province of China"
Imperial Oil Ltd.,"Petroleum & Coal Products, Canada"
Cummins Inc.,"Motor Vehicle Parts, United States"
Aluminum Corp. of China Ltd.,"Chemicals, China"
PACCAR Inc.,"Motor Vehicles, United States"
Wistron Corp.,"Computers & Other Electronic Products, Taiwan Province of China"
Mitsubishi Motors Corp.,"Motor Vehicles, Japan"
Japan Tobacco Inc.,"Tobacco, Japan"
Associated British Foods PLC,"Food, United Kingdom"
Toyota Industries Corp.,"Motor Vehicles, Japan"
Kimberly-Clark Corp.,"Paper, United States"
Suzuken Co. Ltd.,"Pharmaceuticals, Japan"
Kraft Heinz Co.,"Food, United States"
adidas AG,"Apparel, Germany"
Tata Steel Ltd.,"Primary Metals, India"
Kirin Holdings Co. Ltd.,"Beverages, Japan"
Ricoh Co. Ltd.,"Computers & Other Electronic Products, Japan"
Lear Corp.,"Motor Vehicle Parts, United States"
Bombardier Inc.,"Railcars, Ships, & Other Trans. Equip., Canada"
